name,type,instructions
Squats (barbell/bodyweight),strength,3 sets x 6-12 reps - compound lower body
Deadlift,strength,3 sets x 5-8 reps - posterior chain
Bench Press,strength,3 sets x 6-10 reps - chest
Pull-ups/Rows,strength,3 sets x 6-12 reps - back
HIIT Sprints,hiit,10 rounds 20s all-out / 40s rest
Cycling / Steady-state Cardio,cardio,30-60 min steady effort
Plank,mobility,3 x 45-90 seconds
Lunges,hypertrophy,3 sets x 8-12 reps each leg
Overhead Press,strength,3 sets x 6-10
Yoga Flow,mobility,20-30 min flow focusing on flexibility
